algorithm,run,library,parsimony,maxsize,dof,n_terms,MSE_train,MSE_val,MSE_test,R2_val,R2_test,ATE,ate_grade,equation
PySR,run_2,Full,0.01,35,a_y,11,40.831803951260945,23.185063178845326,62.47948100143188,0.9803973874042414,0.9514026901667241,2.297539613603796,F,(cos_ez/(-0.10637757) + px + vx*wz)*1.4591923
PySR,run_2,Full,0.01,35,a_z,3,14.377689419673548,10.511623964662503,19.658244458928163,0.26994042000767204,-0.013138490071904929,0.3196848465147685,D,vx*(-0.7329653)
PySR,run_3,Full,0.01,35,a_x,5,30.974080145060448,43.42039581526755,139.95463180086108,0.9670351500449397,0.7168470269390379,1.7466390008766088,F,(sin_ez + vy)*12.911245
PySR,run_3,Full,0.01,35,a_y,13,36.71505899852138,51.09891029828748,122.08383347126491,0.9607909335605119,0.6673718147960126,2.8309640382026457,F,(cos_ez*(-14.612294) - vx*(cos_ey + 14.525598) - wy)*0.75905323
PySR,run_3,Full,0.01,35,a_z,5,8.576755431414739,13.044912764493228,20.76377874265971,-1.1912924108876046,-0.13401677894968866,0.1685769245625005,D,ax*(-0.042914223) - vx
PySR,run_4,Full,0.01,35,a_x,5,33.088164703679155,25.78883331300105,84.12011901245548,0.9785321447779975,0.021108195386679407,0.3815703339973956,D,(sin_ez + vy)*12.456306
PySR,run_4,Full,0.01,35,a_y,7,31.095064263901477,17.77077741596861,60.70169409986448,0.9836386653374377,0.4754416331063499,0.5585302183134566,F,px - (cos_ez + vx)/0.08662879
PySR,run_4,Full,0.01,35,a_z,18,4.770016153866604,3.918002053898697,10.822483650069843,0.5657134843027637,-1.7557049567464036,0.12487223132720435,C,(-wy - 3.070114)**2*0.17180037 - (alphax*0.36885002 - pz + sin_ez + vy + 4.0213385)
PySR,run_5,Full,0.01,35,a_x,5,41.29797984714772,29.283742078336576,44.984758679303866,0.9766153523164642,0.9633864666830523,1.0326956438818358,F,(sin_ez + vy)*12.597813
PySR,run_5,Full,0.01,35,a_y,7,32.59093078032317,19.18727985061588,26.824525517137495,0.9828019621034564,0.9784385741166262,0.5215339151816708,F,(-cos_ez/(-0.90525323) + vx)*(-12.277008)
PySR,run_5,Full,0.01,35,a_z,3,8.106842271995848,9.013489028941002,8.776409704657885,0.2878345499593926,0.3787382801655411,0.0837922107048727,C,ax*(-0.08527926)
Hybrid PySR,pooled,Full,0.01,35,a_x,5,45.18049712553824,41.85073295326744,39.05717302885843,0.9681326384670101,0.9723191317334632,22.470642098689016,F,(sin_ez + vy)/0.080748096
Hybrid PySR,pooled,Full,0.01,35,a_y,9,53.682921904369465,46.873655647649414,27.536255046774652,0.9606121119223057,0.9793897156249913,50.596968272290646,F,(cos_ez*(-1.1107993) - vx)*4.8444166/0.39376482
Hybrid PySR,pooled,Full,0.01,35,a_z,25,6.174738237400662,12.05679068050498,22.786271964491817,-0.19694051517575684,-0.34942894602390573,11.072221666846739,F,vy*(-0.38750112) + (alphax + ay*(-0.26408136) + cos_ey - vy - (-vy - (-4.541618)*wy - 1.5885625))*(-0.32367617) - 1.4862831
PySR,run_1,Full,0.1,15,a_x,5,39.29379699453287,24.402206151595085,24.72303594785281,0.9824382732596956,0.9797308623003881,3.2690471053595362,F,(sin_ez + vy)/0.08070215
PySR,run_1,Full,0.1,15,a_y,7,69.67833757111677,33.90605315272362,36.31123346309924,0.9763507341350628,0.9716334658045744,0.9492448492924643,F,(-(-1.185085)*cos_ez + vx)*(-13.313842)
PySR,run_1,Full,0.1,15,a_z,3,10.892672301514217,6.17592602361228,6.161089729832882,0.6928484219043143,0.6031407318891642,0.24771498585046126,D,ay*0.0983092
PySR,run_2,Full,0.1,15,a_x,5,53.731632600181264,29.430920168066905,42.9226123072473,0.9762659231872605,0.9701604280109725,2.653096246527244,F,(sin_ez + vy)*12.994325
PySR,run_2,Full,0.1,15,a_y,9,54.861995763056974,28.06572579179098,61.14854134664582,0.9762708625949638,0.9524379114223479,1.8675147384126383,F,cos_ez/(-0.07408405) - 0.58036315*vx/0.047543384
PySR,run_2,Full,0.1,15,a_z,5,11.80417093467681,11.275818747031252,20.20575769813696,0.2168651079793873,-0.04135600143846285,0.2811026732950164,D,alphax*(-0.1344638) - vx
PySR,run_3,Full,0.1,15,a_x,7,30.969629032544933,43.22114306952543,139.78889435582312,0.96718642312164,0.7171823431033275,1.747532356276317,F,(sin_ez + vy)/(0.26814377*0.28911954)
PySR,run_3,Full,0.1,15,a_y,7,33.36479028702159,52.05037581659504,118.14968959640765,0.9600608578210406,0.6780907371972589,0.8103610223487947,F,-cos_ez/0.09500087 + vx/(-0.084257)
PySR,run_3,Full,0.1,15,a_z,3,10.90071078995858,12.764129709938452,17.572447501209993,-1.14412630194846,0.04027823834188671,0.47681422513101884,D,px - vx
PySR,run_4,Full,0.1,15,a_x,5,33.07759156981118,25.600661868840135,83.83707811310443,0.978688787665682,0.024401895157885267,0.38754212667994986,D,(sin_ez + vy)*12.433003
PySR,run_4,Full,0.1,15,a_y,7,31.06453586436068,18.019084802505066,60.97991004368998,0.9834100518021256,0.47303740859003274,0.5730932658091837,F,px - (cos_ez + vx)/0.08641568
PySR,run_4,Full,0.1,15,a_z,3,7.2495191796341585,6.060224057221262,3.5949279420548454,0.32826130411639654,0.08463148853980917,0.38884954194786026,D,vy*(-0.633905)
PySR,run_5,Full,0.1,15,a_x,5,41.31518057860116,29.241510713825893,44.941399385446736,0.9766490763390853,0.9634217572347157,1.033328239177432,F,(sin_ez + vy)*12.593956
PySR,run_5,Full,0.1,15,a_y,7,30.956726590369644,16.10580417214051,26.95828918815411,0.985563965676047,0.9783310555147904,0.5659739719837804,F,(cos_ez + vx)*(wz - 1*3.5237184)
